Rank,Industry,Sector,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,rs_1w_pct,Tickers
66,Broadcasting,Communication Services,1.05,34,1.11,34,29,27,47,"NXST,TGNA,SBGI"
67,Conglomerates,Industrials,1.05,34,1.05,37,30,22,36,"DLX,SEB,HON,TRC,AIRT,VMI,OTTR,PAM,MATW,MMM,RCMT,BOC"
68,Farm & Heavy Construction Machinery,Industrials,1.05,34,1.1,57,25,21,45,"CAT,OSK,TEX,ASTE,DE,BLBD,PCAR,AGCO,MTW,GENC,LNN,ALG,CMCO,HY"
69,Specialty Industrial Machinery,Industrials,1.05,34,1.08,50,30,36,41,"TAYD,GHM,GEV,THR,HLIO,GRC,RRX,TWIN,CMI,GNRC,SYM,SXI,FLS,NPO,NDSN,PH,PKOH,WTS,ITT,GTLS,AME,DOV,MWA,ETN,PSIX,IEX,DCI,ROK,ITW,EMR,GGG,GTES,IR,ATS,AMSC,MIDD,AOS,FELE,KAI,CR,HURC,JBTM,OTIS,XYL,KRNT,MIR,PNR,OFLX,CSW,EPAC,TNC,CXT,NNE"
70,Railroads,Industrials,1.05,34,1.08,43,25,16,41,"WAB,CSX,FSTR,GBX,TRN,CNI,NSC,CP,UNP"
71,Insurance - Reinsurance,Financial Services,1.05,34,1.03,34,32,12,34,"HG,GLRE,RNR,SPNT,RGA,EG"
72,Leisure,Consumer Cyclical,1.04,32,1.03,37,28,17,34,"CALY,MSGE,ESCA,JOUT,HAS,GOLF,JAKK,OSW,YETI,LTH,AS,MAT,FUN,PLNT"
73,Auto Parts,Consumer Cyclical,1.04,32,1.07,58,32,41,39,"MOD,DAN,GTX,PLOW,BWA,ATMU,MGA,PHIN,CPS,STRT,ALSN,LEA,HSAI,AAP,SMP,MLR,ADNT,APTV,XPEL,AZO,ORLY,ALV,VC,GNTX,MNRO,LKQ,THRM,GPC,DORM,FOXF"
74,REIT - Specialty,Real Estate,1.03,31,1.03,27,11,11,34,"OUT,EQIX,IRM,DLR,LAMR,EPR,GLPI,AMT,WY,CCI,SBAC,RYN"
75,Software - Infrastructure,Technology,1.03,31,1.04,15,20,37,35,"BNAI,DOCN,AEVA,GCT,NYAX,AKAM,CORZ,CCSI,CFLT,NTCT,VHC,OS,CSGS,ATEN,NET,IMXI,NN,ZETA,TWLO,CRWV,TDC,PLTR,CALX,RDWR,FFIV,WEX,STNE,BAND,FLYW,CPAY,FTNT,RAMP,SNPS,VRSN,NTAP,MDB,CRWD,XYZ,RELY,EVTC,DBX,IIIV,PANW,KSPI,MSFT,S,ACIW,IOT,OKTA,TCX,CLBT,DOX,EEFT,ORCL,APPN,PAY,BOX,ATGL,TOST,CHKP,GEN,PRGS,TENB,NTNX,WIX,QLYS,SAIL,FIVN,RBRK,ZS,VRNS,ARQQ,FOUR,GDDY,GTLB"
76,Packaging & Containers,Consumer Cyclical,1.02,29,1.02,41,20,12,33,"MYE,SON,BALL,SEE,KRT,TRS,CCK,PKG,GEF,AVY,SW,SLGN,AMCR,REYN,IP"
77,Security & Protection Services,Industrials,1.02,29,1.01,38,26,27,31,"MG,NSSC,BRC,MSA,CIX,BCO,ALLE,CXW,GEO"
78,Entertainment,Communication Services,1.02,29,1.06,22,30,29,38,"SPHR,WBD,MSGS,IMAX,LLYVA,LLYVK,TKO,LYV,BATRA,ROKU,BATRK,SIRI,CNK,STRZ,MCS,FOX,FOXA,WMG,FWONK,NFLX,FWONA,DIS,NWSA,NWS,PLAY"
79,Trucking,Industrials,1.01,27,1.1,49,20,3,45,"XPO,ODFL,ARCB,KNX,CVLG,TFII,SAIA,SNDR,WERN,ULH"
80,REIT - Diversified,Real Estate,1.01,27,1.0,24,9,9,29,"FVR,BNL,WPC,CTO,OLP,GOOD,AAT,SAFE,VICI"
81,Department Stores,Consumer Cyclical,1.01,27,1.02,64,61,49,33,"DDS,M,KSS"
82,Specialty Retail,Consumer Cyclical,1.01,27,1.03,38,27,31,34,"FIVE,BWMX,CASY,EYE,SBH,ASO,MUSA,WINA,ULTA,GME,HZO,WSM,DKS,TSCO,BBY,BBWI,MNSO,BBW,RH"
